全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
122319,,千葉県印西市,老人デイサービスセンターホワイトヴィラ印西,ロウジンデイサービスセンターホワイトヴィラインザイ,,通所介護,122319,15000,千葉県印西市大森2216-3,千葉県,印西市,大森,2216-3,,,,,,0476-42-7300,,0476-42-7307,hokuto-white@bz01.plala.or.jp,,,2701327,,,1273600070,,,,,,,
122319,,千葉県印西市,デイサービスセンターみどり荘,デイサービスセンターミドリソウ,,通所介護,122319,15000,千葉県印西市大森4476-1,千葉県,印西市,大森,4476-1,,,,,,0476-40-3636,,0476-40-3637,7bv2t6@bma.biglobe.ne.jp,,,2701327,,,1273600245,,,,,,,
122319,,千葉県印西市,千葉ニュータウンディサービスセンター,チバニュータウンディサービスセンター,,通所介護,122319,9001,千葉県印西市内野1-5-6,千葉県,印西市,内野,1-5-6,,,,,,0476-40-7003,,0476-40-7033,chiba.ntd@gmail.com,,,2701347,,,1273600252,,,,,,,
122319,,千葉県印西市,通所介護事業所ハートヴィレッヂ,ツウショカイゴジギョウショハートヴィレッヂ,,通所介護,122319,94000,千葉県印西市武西1269-1,千葉県,印西市,武西,1269-1,,,,,,0476-47-1122,,0476-47-1188,heart-v15@ryushinkai.or.jp,,,2701354,,,1273600328,,,,,,,
122319,,千葉県印西市,医療法人社団雅厚生会デイサービス穂高,イリョウホウジンシャダンミヤビコウセイカイデイサービスホダカ,,通所介護,122319,50000,千葉県印西市草深137-1,千葉県,印西市,草深,137-1,,,,,,0476-47-7093,,0476-40-6635,,,,2701337,,,1273600443,,,,,,,
122319,,千葉県印西市,プレーゲ印西牧の原通所介護事業所,プレーゲインザイマキノハラツウショカイゴジギョウショ,,通所介護,122319,87001,千葉県印西市牧の原1-3,千葉県,印西市,牧の原,1-3,,,,,,0476-40-6040,,0476-40-6061,makinohara@rikushinkai.com,,,2701331,,,1273600609,,,,,,,
122319,,千葉県印西市,ゆかり印西デイサービスセンターつくしんぼ,ユカリインザイデイサービスセンターツクシンボ,,通所介護,122319,26000,千葉県印西市木下1649,千葉県,印西市,木下,1649,,,,,,0476-29-5222,,0476-29-5223,tsukushinbo@kkangle.co.jp,,,2701326,,,1273600740,,,,,,,
122319,,千葉県印西市,デイサービスセンター印西,デイサービスセンターインザイ,,通所介護,122319,50000,千葉県印西市草深225-5,千葉県,印西市,草深,225-5,,,,,,0476-40-6110,,0476-40-6115,inzai1@shououkai.or.jp,,,2701337,,,1273600781,,,,,,,
122319,,千葉県印西市,フレンズ印西デイサービスセンター,フレンズインザイデイサービスセンター,,通所介護,122319,50000,千葉県印西市草深2302-3,千葉県,印西市,草深,2302-3,,,,,,0476-48-1575,,0476-48-1576,friends_inzai@polka.ocn.ne.jp,,,2701337,,,1273600823,,,,,,,
122319,,千葉県印西市,デイサービスセンターアインキューゲル,デイサービスセンターアインキューゲル,,通所介護,122319,60001,千葉県印西市中央南1-7-4,千葉県,印西市,中央南,1-7-4,,,,,,0476-85-4742,,0476-85-4743,eim.kyu.geru2015@gmail.com,,,2701340,,,1273600831,,,,,,,
