防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考
122319,,,2001,市役所,,,T86子局,35.49549,140.08447,世界測地系,,印西地区,
122319,,,2002,六軒コミュニティセンター,,,T86子局,35.503588,140.083667,世界測地系,,印西地区,
122319,,,2003,西埜原幼児公園,,,T86子局,35.501815,140.08323,世界測地系,,印西地区,
122319,,,2004,木下児童遊園,,,T86子局,35.502629,140.085733,世界測地系,,印西地区,
122319,,,2005,木下池田子どもの遊び場,,,T86子局,35.50148,140.090576,世界測地系,,印西地区,
122319,,,2006,木下保育園,,,T86子局,35.502281,140.092541,世界測地系,,印西地区,
122319,,,2007,県水道局木下取水場,,,T86子局,35.502578,140.095068,世界測地系,,印西地区,
122319,,,2008,平岡字天地島地先,,,T86子局,35.50282,140.1049,世界測地系,,印西地区,
122319,,,2009,かみうし第２幼児公園,,,T86子局,35.495863,140.113093,世界測地系,,印西地区,
122319,,,2010,小林コミュニティプラザ,,,T86子局,35.49468,140.11299,世界測地系,,印西地区,
122319,,,2011,小林砂田集会場,,,T86子局,35.493622,140.114556,世界測地系,,印西地区,
122319,,,2012,亀成会館,,,T86子局,35.493919,140.071487,世界測地系,,印西地区,
122319,,,2013,発作上集会所,,,T86子局,35.495777,140.07217,世界測地系,,印西地区,
122319,,,2014,発作字都島,,,T86子局,35.501868,140.073551,世界測地系,,印西地区,
122319,,,2015,中ノ口公民館,,,T86子局,35.500387,140.080437,世界測地系,,印西地区,
122319,,,2016,平岡字道口地先,,,T86子局,35.502871,140.100943,世界測地系,,印西地区,
122319,,,2017,平岡字西地先,,,T86子局,35.5016,140.102139,世界測地系,,印西地区,
122319,,,2018,平岡会館,,,T86子局,35.500455,140.102354,世界測地系,,印西地区,
122319,,,2019,小林字境田地先,,,T86子局,35.50033,140.110091,世界測地系,,印西地区,
122319,,,2020,小林台方消防器具置場,,,T86子局,35.493179,140.111514,世界測地系,,印西地区,
122319,,,2021,しもうし第１幼児公園,,,T86子局,35.494951,140.115425,世界測地系,,印西地区,
122319,,,2022,三番割幼児公園,,,T86子局,35.491857,140.120154,世界測地系,,印西地区,
122319,,,2023,草深字内川地先,,,T86子局,35.475143,140.084858,世界測地系,,印西地区,
122319,,,2024,そうふけふれあいの里,,,T86子局,35.474268,140.09073,世界測地系,,印西地区,
122319,,,2025,草深原消防器具置場,,,T86子局,35.474092,140.09358,世界測地系,,印西地区,
122319,,,2026,草深字柏木台地先,,,T86子局,35.47073,140.100145,世界測地系,,印西地区,
122319,,,2027,武西集会所,,,T86子局,35.46597,140.06259,世界測地系,,印西地区,
122319,,,2028,戸神集会所,,,T86子局,35.47098,140.065724,世界測地系,,印西地区,
122319,,,2029,船尾字向ノ地地先,,,T86子局,35.46595,140.071646,世界測地系,,印西地区,
122319,,,2030,船穂小学校,,,T86子局,35.47017,140.074085,世界測地系,,印西地区,
122319,,,2031,松崎中央会館,,,T86子局,35.46433,140.081677,世界測地系,,印西地区,
122319,,,2032,松崎字境田地先,,,T86子局,35.463461,140.084698,世界測地系,,印西地区,
122319,,,2033,松崎字南田地先,,,T86子局,35.46147,140.081455,世界測地系,,印西地区,
122319,,,2034,竹袋消防器具置場,,,T86子局,35.495367,140.093013,世界測地系,,印西地区,
122319,,,2035,別所消防器具置場,,,T86子局,35.49178,140.093293,世界測地系,,印西地区,
122319,,,2036,大森字前畑地先,,,T86子局,35.495182,140.08286,世界測地系,,印西地区,
122319,,,2037,古新田集会所,,,T86子局,35.492176,140.083852,世界測地系,,印西地区,
122319,,,2038,鹿黒消防器具置場,,,T86子局,35.492379,140.080549,世界測地系,,印西地区,
122319,,,2039,和泉会館,,,T86子局,35.491613,140.072482,世界測地系,,印西地区,
122319,,,2040,小倉消防器具置場,,,T86子局,35.490708,140.070397,世界測地系,,印西地区,
122319,,,2041,永治小学校プール,,,T86子局,35.493066,140.062921,世界測地系,,印西地区,
122319,,,2042,本郷消防器具置場,,,T86子局,35.492011,140.062894,世界測地系,,印西地区,
