OBJECTID,投票区名,投票所名,設置番号,投票区名ー設置番号,住所,世界_10進_X,世界_10進_Y,設置場所名
1,第01投票区,総合福祉センター　レクリエーションホール,1,第１投票区ー１,印西市木下1633-13,140.148077,35.839025,木下駅北口
2,第01投票区,総合福祉センター　レクリエーションホール,2,第１投票区ー２,印西市竹袋614-9,140.150049,35.832873,総合福祉センター前
3,第01投票区,総合福祉センター　レクリエーションホール,3,第１投票区ー３,印西市木下1342-4,140.1570977,35.84007256,旧木下保育園跡地北側
4,第01投票区,総合福祉センター　レクリエーションホール,4,第１投票区ー４,印西市木下東4-3,140.1674601,35.83973781,木下東四丁目もみじ公園東側
5,第01投票区,総合福祉センター　レクリエーションホール,5,第１投票区ー５,印西市木下774,140.151535,35.837352,上町会館前
6,第01投票区,総合福祉センター　レクリエーションホール,6,第１投票区ー６,印西市竹袋470-4,140.157352,35.831655,古川文夫宅前
7,第01投票区,総合福祉センター　レクリエーションホール,7,第１投票区ー７,印西市別所1008,140.1605082,35.82416962,岩﨑容子宅前
8,第01投票区,総合福祉センター　レクリエーションホール,8,第１投票区ー８,印西市木下南2-9,140.1509991,35.83399783,木下南公園北側
9,第02投票区,小林小学校体育館,1,第２投票区ー１,印西市小林643-1,140.192685,35.83037027,小林駅南口
10,第02投票区,小林小学校体育館,2,第２投票区ー２,印西市小林1811-1,140.1919424,35.82996434,旧ショッピングセンター前
11,第02投票区,小林小学校体育館,3,第２投票区ー３,印西市小林2727,140.1840046,35.83415423,渡辺友幸宅脇
12,第02投票区,小林小学校体育館,4,第２投票区ー４,印西市平岡1196,140.1756708,35.83715777,米元益雄宅前
13,第02投票区,小林小学校体育館,5,第２投票区ー５,印西市小林大門下1-4-1,140.1862557,35.82294142,小林中学校前
14,第02投票区,小林小学校体育館,6,第２投票区ー６,印西市小林2448-2,140.187499,35.836771,小林小学校前
15,第02投票区,小林小学校体育館,7,第２投票区ー７,印西市小林浅間1-17-13,140.1919679,35.82633406,いなりや第二幼児公園南側
16,第03投票区,小林公民館集会室,1,第３投票区ー１,印西市小林北2-6-6,140.1936319,35.83058732,小林駅北口
17,第03投票区,小林公民館集会室,2,第３投票区ー２,印西市小林北2-6-4,140.1917229,35.83204173,なかうし西公園西側
18,第03投票区,小林公民館集会室,3,第３投票区ー３,印西市小林北5-1-6,140.1980488,35.83137992,小林公民館前
19,第03投票区,小林公民館集会室,4,第３投票区ー４,印西市小林3293-2,140.1911204,35.83413808,小林中継ポンプ場前
20,第03投票区,小林公民館集会室,5,第３投票区ー５,印西市小林1566,140.1986415,35.82556152,小川榮一宅前
21,第03投票区,小林公民館集会室,6,第３投票区ー６,印西市小林北3-8-15,140.1963321,35.83064466,なかうし第三幼児公園南側
22,第03投票区,小林公民館集会室,7,第３投票区ー７,印西市小林浅間3-4-6,140.193849,35.824934,しろやま第一幼児公園南側
23,第04投票区,大森小学校体育館,1,第４投票区ー１,印西市大森3213,140.1356455,35.83396101,寺島佳寿宅前
24,第04投票区,大森小学校体育館,2,第４投票区ー２,印西市大森3345-11地先,140.1404905,35.83721337,大森小学校前
25,第04投票区,大森小学校体育館,3,第４投票区ー３,印西市大森3561-2,140.1436449,35.83609761,寺田商店駐車場前
26,第04投票区,大森小学校体育館,4,第４投票区ー４,印西市大森3323地先,140.1413923,35.83514099,大森小学校南側
27,第04投票区,大森小学校体育館,5,第４投票区ー５,印西市大森2531-2地先,140.1458675,35.83392619,印西市役所前
