"全国地方公共団体コード","法人番号","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字以下","建物名等","設置者","電話番号","内線電話","連絡先メールアドレス","連絡先FORMURL","連絡先備考SNSなど","郵便番号","SSID","提供エリア","URL","備考","経度","緯度","分類"
"122319","","","印西市","印西市役所本庁","インザイシヤクショホンチョウ","","122319","15000","千葉県印西市大森2364-2","千葉県","印西市","大森2364-2","","印西市","","","","","","","","","","","140.145817000002","35.8323489999017","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","印旛支所（ふれあいセンターいんば）","インバシショ（フレアイセンターインバ）","","122319","92001","千葉県印西市美瀬1-25","千葉県","印西市","美瀬1-25","","印西市","","","","","","","","","","","140.204606000079","35.7793869998815","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","本埜支所（保健センター含む）","モトノシショ（ホケンセンターフクム）","","122319","21000","千葉県印西市笠神2587","千葉県","印西市","笠神2587","","印西市","","","","","","","","","","","140.201523999981","35.816731999973","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","中央保健センター","チュウオウホケンセンター","","122319","15000","千葉県印西市大森2356-3","千葉県","印西市","大森2356-3","","印西市","","","","","","","","","","","140.144328000005","35.8324469998956","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","木下交流の杜歴史資料センター","キオロシコウリュウノモリレキシシリョウセンター","","122319","26000","千葉県印西市木下1489-1","千葉県","印西市","木下1489-1","","印西市","","","","","","","","","","","140.155273000027","35.8381089998471","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","牧の原学校給食センター","マキノハラガッコウキュウショクセンター","","122319","87002","千葉県印西市牧の原2-5","千葉県","印西市","牧の原2-","","印西市","","","","","","","","","","","140.154947000001","35.8084999999295","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","印旛学校給食センター","インバガッコウキュウショクセンター","","122319","92002","千葉県印西市美瀬2-2","千葉県","印西市","美瀬2-2","","印西市","","","","","","","","","","","140.209621999968","35.7845289999964","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","大森図書館・文化ホール","オオモリトショカン・ブンカホール","","122319","15000","千葉県印西市大森2535","千葉県","印西市","大森2535","","印西市","","","","","","","","","","","140.145985999986","35.8333469998977","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小倉台図書館","オグラダイトショカン","","122319","17004","千葉県印西市小倉台4-5","千葉県","印西市","小倉台4-5","","印西市","","","","","","","","","","","140.11247400012","35.8060669998743","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","中央駅前地域交流館1号館","チュウオウエキマエチイキコウリュウカン","","122319","60001","千葉県印西市中央南1-2","千葉県","印西市","中央南1-2","","印西市","","","","","","","","","","","140.119341500091","35.8003941698752","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","牧の原出張所","マキノハラシュッチョウジョ","","122319","74001","千葉県印西市原1-2","千葉県","印西市","原1-2","","印西市","","","","","","","","","","","140.165841800041","35.8032162998756","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小林コミュニティプラザ","コバヤシコミュニティプラザ","","122319","35005","千葉県印西市小林北5-1-6","千葉県","印西市","小林北5-1-6","","印西市","","","","","","","","","","","140.197670000097","35.8319399998991","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","本埜ファミリア館","モトノファミリアカン","","122319","55003","千葉県印西市滝野3-4","千葉県","印西市","滝野3-4","","印西市","","","","","","","","","","","140.17764300007","35.8066539998883","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","そうふけふれあいの里","ソウフケフレアイノサト","","122319","50000","千葉県印西市草深924","千葉県","印西市","草深924","","印西市","","","","","","","","","","","140.151041999987","35.7957759998842","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","平賀出張所（構造改善センター）","ヒラカシュッチョウジョ（コウゾウカイゼンセンター）","","122319","78000","千葉県印西市平賀928","千葉県","印西市","平賀928","","印西市","","","","","","","","","","","140.244932999977","35.7574029998747","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","印旛歴史民俗資料館（岩戸出張所）","インバレキシミンゾクシリョウカン（イワドシュッチョウジョ）","","122319","7000","千葉県印西市岩戸1699","千葉県","印西市","岩戸1699","","印西市","","","","","","","","","","","140.166941000009","35.7628049999451","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","本埜公民館","モトノコウミンカン","","122319","69000","千葉県印西市中根1375","千葉県","印西市","中根1375","","印西市","","","","","","","","","","","140.199545599953","35.8101717699753","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","総合福祉センター","ソウゴウフクシセンター","","122319","56000","千葉県印西市竹袋614-9","千葉県","印西市","竹袋614-9","","印西市","","","","","","","","","","","140.150506999993","35.8328589998097","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","保健福祉センター","ホケンフクシセンター","","122319","53002","千葉県印西市高花2-1-5","千葉県","印西市","高花2-1-5","","印西市","","","","","","","","","","","140.138841000056","35.7980419998638","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","中央公民館","チュウオウコウミンカン","","122319","15000","千葉県印西市大森3934-1","千葉県","印西市","大森3934-1","","印西市","","","","","","","","","","","140.14663000003","35.841430999887","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
