"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高28","Ⅲ-1092","140.224869849288","35.7868282408027","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸26","Ⅱ-060066","140.217060856166","35.7776512664738","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸27","Ⅱ-060067","140.215747342223","35.7774135216447","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸28","Ⅱ-060068","140.221630679555","35.7676923528279","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","花台","Ⅰ-0308","140.217002580697","35.7689760949544","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高27","Ⅱ-1274","140.221119158052","35.788758616991","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高2","Ⅱ-1275","140.227153037363","35.7889454073895","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高4","Ⅱ-1276","140.228846443048","35.7901386529955","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高4","Ⅱ-1276","140.229182311239","35.7904734260268","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高5","Ⅱ-1277","140.231005203405","35.7936435311263","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","吉高5","Ⅱ-1277","140.230802098334","35.7929248140511","土砂災害警戒区域"
