OBJECTID,投票区,投票所名,住所,世界_10進_X,世界_10進_Y
1,第1投票区,総合福祉センター　レクリエーションホール,竹袋６１４番地９,140.15057,35.83306
2,第2投票区,印西市立小林小学校体育館,小林２４４８−２,140.1870818,35.83084366
3,第3投票区,印西市小林公民館集会室,小林北五丁目１−６,140.1976423,35.8317749
4,第4投票区,印西市立大森小学校体育館,大森３３５０,140.1404736,35.83650488
5,第5投票区,印西市永治コミュニティセンター多目的室,浦部４１１−３,140.1091924,35.82510777
6,第6投票区,武西集会所集会室,武西９０８,140.1069452,35.7833527
7,第7投票区,印西市船穂コミュニティセンター多目的室,船尾７８６−１,140.1296651,35.78155453
8,第8投票区,原集会所,草深２５２９,140.15993,35.79452
9,第9投票区,印西市立木刈小学校体育館,木刈二丁目６,140.1077155,35.81035418
10,第10投票区,印西市立小倉台小学校体育館,小倉台二丁目３,140.1094822,35.80410025
11,第11投票区,印西市立内野小学校体育館,内野一丁目１,140.1250853,35.79777427
12,第12投票区,印西市立原山小学校体育館,原山三丁目４,140.1299077,35.79980792
13,第13投票区,印西市立高花小学校体育館,高花二丁目４,140.1391041,35.79730946
14,第14投票区,印西市立西の原小学校体育館,西の原二丁目７,140.1527411,35.80031073
15,第15投票区,印西市そうふけ公民館多目的室,原三丁目４,140.1652035,35.79974574
16,第16投票区,印西市立六合小学校体育館,瀬戸１５８０,140.2276563,35.77764436
17,第17投票区,印旛西部公園管理棟ホール,岩戸２８６９,140.1640101,35.76334408
18,第18投票区,印西市立平賀小学校体育館,平賀１１６１−２,140.2467366,35.75523214
19,第19投票区,印旛地域福祉センター会議室,美瀬一丁目２５,140.2047282,35.7792437
20,第20投票区,本埜支所３階多目的ホール,笠神２５８７,140.2015333,35.81661817
21,第21投票区,旧印西市立本埜第二小学校体育館,笠神１７４５,140.2155064,35.82695122
22,第22投票区,本埜ファミリア館ロビー,滝野三丁目４,140.1774754,35.80668364
23,第23投票区,イオンモール千葉ニュータウン内シネマ・スポーツ棟,中央北三丁目２,140.111356,35.80126389
