大分類,小分類,施設名,所在地,電話番号,緯度,経度
市役所・支所・出張所,市役所,印西市役所,印西市大森2364-2,0476-42-5111,35.832349,140.145817
市役所・支所・出張所,支所,印旛支所,印西市美瀬1-25,0476-98-1111,35.779387,140.204606
市役所・支所・出張所,支所,本埜支所,印西市笠神2587,0476-97-1111,35.816732,140.201524
市役所・支所・出張所,出張所,船穂出張所（船穂コミュニティセンター内）,印西市船尾786-1,0476-46-0002,35.78158,140.129417
市役所・支所・出張所,出張所,中央駅前出張所（中央駅前地域交流館2号館内）,印西市中央南1-4-1,0476-46-1011,35.799795,140.119445
市役所・支所・出張所,出張所,牧の原出張所（ＢＩＧ ＨＯＰ駅前ビレッジ内）,印西市原1-2,0476-47-1111,35.803471,140.165002
市役所・支所・出張所,出張所,小林出張所（小林コミュニティプラザ内）,印西市小林北5-1-6,0476-97-0002,35.831907,140.197734
市役所・支所・出張所,出張所,岩戸出張所（印旛歴史民俗資料館脇）,印西市岩戸1699,0476-80-5911,35.762805,140.166941
市役所・支所・出張所,出張所,平賀出張所（平賀地区構造改善センター1階）,印西市平賀928,0476-80-3811,35.757403,140.244933
市役所・支所・出張所,出張所,滝野出張所（本埜ファミリア館内）,印西市滝野3-4,0476-80-8181,35.806654,140.177643
保健施設,保健センター,中央保健センター,印西市大森2356-3,0476-42-5595,35.832447,140.144328
児童・子育て施設,子どもふれあいセンター,子どもふれあいセンター（総合福祉センター内）,印西市竹袋614-9,0476-42-0144,35.832859,140.150507
福祉施設,高齢者のための施設,中央老人福祉センター（総合福祉センター内）,印西市竹袋614-9,0476-42-0144,35.832859,140.150507
福祉施設,地域福祉センター,印西地域福祉センター（総合福祉センター内）,印西市竹袋614-9,0476-42-0144,35.832859,140.150507
福祉施設,障がいのある人のための施設,福祉作業所コスモス（総合福祉センター内）,印西市竹袋614-9,0476-42-0294,35.832859,140.150507
保健施設,保健センター,高花保健センター（保健福祉センター内）,印西市高花2-1-5,0476-47-2111,35.798042,140.138841
児童・子育て施設,子ども発達センター,子ども発達センター（保健福祉センター内）,印西市高花2-1-5,0476-40-6551,35.798042,140.138841
福祉施設,高齢者のための施設,高花老人福祉センター（保健福祉センター内）,印西市高花2-1-5,0476-47-2112,35.798042,140.138841
保健施設,保健センター,本埜保健センター（本埜支所内）,印西市笠神2587,0476-97-1323,35.798042,140.138841
保健施設,保健センター,印旛保健センター（ふれあいセンターいんば内）,印西市美瀬1-25,0476-80-3800,35.779387,140.204606
