区分,名称,所在地,電話番号,緯度,経度
公立,木下学童クラブ,印西市木下1493-29,0476-42-0061,35.83858003,140.1549386
公立,大森学童クラブ,印西市大森3313-1,0476-42-5814,35.83575194,140.140713
公立,高花学童クラブ,印西市高花2-4,0476-46-1147,35.79728833,140.1376141
公立,内野学童クラブ,印西市内野1-3,"0476-46-5671（A）
0476-40-1055（B）",35.79707593,140.124634
公立,内野第２学童クラブ,印西市内野1-3,0476-45-7122,35.79706512,140.1244432
公立,原山学童クラブ,印西市原山3-4,0476-46-3966,35.79914501,140.1313762
公立,木刈学童クラブ,印西市木刈2-6,0476-46-8592,35.80962453,140.1060366
公立,小倉台学童クラブ,印西市小倉台2-3,0476-46-6031,35.80430876,140.1084664
公立,小倉台第２学童クラブ,印西市小倉台2-3,0476-47-2033,35.80433227,140.1085329
公立,小倉台第３学童クラブ,印西市小倉台2-3,"0476-85-6207（A）
0476-85-6217（B）",35.80432815,140.1103295
公立,小林学童クラブ,印西市小林北5-12-1,0476-80-8677,35.83014117,140.1967259
公立,小林第２学童クラブ,印西市小林2441-2,0476-97-6261,35.82975807,140.1868355
公立,西の原学童クラブ,印西市西の原2-7,"0476-45-1395（A）
0476-29-4515（B）",35.80070736,140.1535766
公立,西の原第２学童クラブ,印西市西の原2-7,0476-46-5501,35.80071461,140.1533899
公立,原学童クラブ,印西市原3-5,0476-47-6220,35.79871603,140.1643562
公立,原第２学童クラブ,印西市原3-5,0476-47-7210,35.79877678,140.1643896
公立,原第３学童クラブ,印西市原3-5,"0476-85-8771（A）
0476-37-7685（B）",35.79980351,140.1646802
公立,六合学童クラブ,印西市瀬戸1580,0476-98-1128,35.77740974,140.2270495
公立,平賀学童クラブ,印西市平賀1161-2,0476-98-3501,35.75457658,140.2476704
公立,いには野学童クラブ,印西市若萩3-9,0476-98-1198,35.78919389,140.2085366
公立,本埜学童クラブ,印西市中根1281-2,0476-97-1020,35.80700623,140.1953705
公立,滝野学童クラブ,印西市滝野5-1,0476-97-2019,35.80941017,140.17597
公立,牧の原学童クラブ,印西市牧の原3-1-2,0476-46-1400,35.81211873,140.1600354
公立,牧の原第２学童クラブ（令和5年4月1日開所予定）,印西市牧の原3-1-1,,35.81152358,140.1598255
民営,松崎学童クラブ,印西市松崎517,0476-46-3928,35.77631335,140.1352946
民営,アルカサール学童クラブ,印西市中央北1-4,0476-85-8823,35.80201722,140.1171345
民営,BigHop学童クラブ,印西市原1-2,0476-85-4276,35.80289935,140.1628537
民営,モア学童クラブ,印西市牧の原1-3,0476-46-3928,35.80620407,140.1619631
民営,エンヂェルハート学童クラブ,印西市武西275-1,0476-47-3344,35.78973452,140.1090568
民営,星虹学童クラブ,印西市戸神609-2,0476-48-5589,35.79340124,140.1185692
民営,HALO学童クラブ,印西市草深1618-1、1618-23,0476-80-8622,35.80514156,140.1722413
民営,レインボー学童クラブ,印西市草深1105-1,0476-85-7610,35.80692493,140.1407064
民営,レインボー第２学童クラブ,印西市草深1105-1,0476-85-7610,35.80692493,140.1407064
民営,こじかKIDSクラブ,印西市草深2496-4,0476-37-6188,35.79677569,140.1562681
民営,かふうkids学童クラブ,印西市草深1617-31,080-1554-9694,35.8049772,140.1753511
民営,学童クラブ　アゼリーアカデミア千葉ニュータウン,印西市高花5-3,0476-48-7880,35.79553474,140.1351752
民営,DUCK学童クラブ（令和5年5月1日開所予定）,印西市中央北1-1　APOLLOPLANTMALL2階,047-446-0002（DUCK新鎌ヶ谷校）,35.80206127,140.1157831
