防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考
122319,,,2001,市役所,,,T86子局,35.83191667,140.14575,世界測地系,,印西地区,
122319,,,2002,六軒コミュニティセンター,,,T86子局,35.8433,140.1435194,世界測地系,,印西地区,
122319,,,2003,西埜原幼児公園,,,T86子局,35.838375,140.1423056,世界測地系,,印西地区,
122319,,,2004,木下児童遊園,,,T86子局,35.84063611,140.1492583,世界測地系,,印西地区,
122319,,,2005,木下池田子どもの遊び場,,,T86子局,35.83744444,140.1516,世界測地系,,印西地区,
122319,,,2006,木下保育園,,,T86子局,35.83966944,140.1570583,世界測地系,,印西地区,
122319,,,2007,県水道局木下取水場,,,T86子局,35.84049444,140.1640778,世界測地系,,印西地区,
122319,,,2008,平岡字天地島地先,,,T86子局,35.84116667,140.1802778,世界測地系,,印西地区,
122319,,,2009,かみうし第２幼児公園,,,T86子局,35.83295278,140.191925,世界測地系,,印西地区,
122319,,,2010,小林コミュニティプラザ,,,T86子局,35.82966667,140.1916389,世界測地系,,印西地区,
122319,,,2011,小林砂田集会場,,,T86子局,35.82672778,140.1959889,世界測地系,,印西地区,
122319,,,2012,亀成会館,,,T86子局,35.82755278,140.1207972,世界測地系,,印西地区,
122319,,,2013,発作上集会所,,,T86子局,35.83271389,140.1226944,世界測地系,,印西地区,
122319,,,2014,発作字都島,,,T86子局,35.83852222,140.1265306,世界測地系,,印西地区,
122319,,,2015,中ノ口公民館,,,T86子局,35.83440833,140.1345472,世界測地系,,印西地区,
122319,,,2016,平岡字道口地先,,,T86子局,35.84130833,140.1692861,世界測地系,,印西地区,
122319,,,2017,平岡字西地先,,,T86子局,35.83777778,140.1726083,世界測地系,,印西地区,
122319,,,2018,平岡会館,,,T86子局,35.83459722,140.1732056,世界測地系,,印西地区,
122319,,,2019,小林字境田地先,,,T86子局,35.83425,140.1835861,世界測地系,,印西地区,
122319,,,2020,小林台方消防器具置場,,,T86子局,35.82549722,140.1875389,世界測地系,,印西地区,
122319,,,2021,しもうし第１幼児公園,,,T86子局,35.83041944,140.1984028,世界測地系,,印西地区,
122319,,,2022,三番割幼児公園,,,T86子局,35.821825,140.2004278,世界測地系,,印西地区,
122319,,,2023,草深字内川地先,,,T86子局,35.79761944,140.1468278,世界測地系,,印西地区,
122319,,,2024,そうふけふれあいの里,,,T86子局,35.79518889,140.1520278,世界測地系,,印西地区,
122319,,,2025,草深原消防器具置場,,,T86子局,35.7947,140.1599444,世界測地系,,印西地区,
122319,,,2026,草深字柏木台地先,,,T86子局,35.78536111,140.1670694,世界測地系,,印西地区,
122319,,,2027,武西集会所,,,T86子局,35.78325,140.1071944,世界測地系,,印西地区,
122319,,,2028,戸神集会所,,,T86子局,35.78605556,140.1159,世界測地系,,印西地区,
122319,,,2029,船尾字向ノ地地先,,,T86子局,35.78319444,140.1212389,世界測地系,,印西地区,
122319,,,2030,船穂小学校,,,T86子局,35.78380556,140.1280139,世界測地系,,印西地区,
122319,,,2031,松崎中央会館,,,T86子局,35.77869444,140.1379917,世界測地系,,印西地区,
122319,,,2032,松崎字境田地先,,,T86子局,35.77628056,140.1463833,世界測地系,,印西地区,
122319,,,2033,松崎字南田地先,,,T86子局,35.77075,140.137375,世界測地系,,印西地区,
122319,,,2034,竹袋消防器具置場,,,T86子局,35.831575,140.1583694,世界測地系,,印西地区,
122319,,,2035,別所消防器具置場,,,T86子局,35.82161111,140.1591472,世界測地系,,印西地区,
122319,,,2036,大森字前畑地先,,,T86子局,35.83106111,140.1412778,世界測地系,,印西地区,
122319,,,2037,古新田集会所,,,T86子局,35.82271111,140.1440333,世界測地系,,印西地区,
122319,,,2038,鹿黒消防器具置場,,,T86子局,35.823275,140.1348583,世界測地系,,印西地区,
122319,,,2039,和泉会館,,,T86子局,35.82114722,140.1235611,世界測地系,,印西地区,
122319,,,2040,小倉消防器具置場,,,T86子局,35.81863333,140.1177694,世界測地系,,印西地区,
122319,,,2041,永治小学校プール,,,T86子局,35.82518333,140.1081139,世界測地系,,印西地区,
122319,,,2042,本郷消防器具置場,,,T86子局,35.82225278,140.1080389,世界測地系,,印西地区,
122319,,,2043,白幡消防器具置場,,,T86子局,35.81820278,140.102875,世界測地系,,印西地区,
122319,,,2044,宮内消防器具置場,,,T86子局,35.82392778,140.1024806,世界測地系,,印西地区,
122319,,,2045,小林物木調整地,,,T86子局,35.82333056,140.1908611,世界測地系,,印西地区,
122319,,,2046,小林小学校,,,T86子局,35.83083333,140.1867444,世界測地系,,印西地区,
122319,,,2047,竹袋字鳴沢地先,,,T86子局,35.82409167,140.1669278,世界測地系,,印西地区,
122319,,,2048,宗甫青年館,,,T86子局,35.81408333,140.1679889,世界測地系,,印西地区,
122319,,,2049,七軒屋消防器具置場,,,T86子局,35.80165556,140.1425444,世界測地系,,印西地区,
122319,,,2050,泉会館,,,T86子局,35.80999444,140.1313833,世界測地系,,印西地区,
122319,,,2051,草上コミニュケーションセンター,,,T86子局,35.80296944,140.1342222,世界測地系,,印西地区,
122319,,,2052,高花青年館,,,T86子局,35.79320833,140.1352333,世界測地系,,印西地区,
122319,,,2053,多々羅田字弁天前地先,,,T86子局,35.79341944,140.1298,世界測地系,,印西地区,
122319,,,2054,結縁寺字西ノ内地先,,,T86子局,35.78911667,140.1340972,世界測地系,,印西地区,
122319,,,2055,松崎コミュニティセンター前戸の里,,,T86子局,35.78068333,140.1407639,世界測地系,,印西地区,
122319,,,2056,木刈小学校,,,T86子局,35.81080278,140.1064389,世界測地系,,印西地区,
122319,,,2057,木刈中児童公園,,,T86子局,35.80725833,140.1062056,世界測地系,,印西地区,
122319,,,2058,木刈東児童公園,,,T86子局,35.80947222,140.1135944,世界測地系,,印西地区,
122319,,,2059,大塚街区公園,,,T86子局,35.81248056,140.121175,世界測地系,,印西地区,
122319,,,2060,印西西消防署,,,T86子局,35.80301389,140.1183722,世界測地系,,印西地区,
122319,,,2061,中央駅前センター,,,T86子局,35.80033056,140.1204417,世界測地系,,印西地区,
122319,,,2062,高花一丁目きんでん社宅脇,,,T86子局,35.79919444,140.1338694,世界測地系,,印西地区,
122319,,,2063,高花小学校,,,T86子局,35.79698056,140.1375528,世界測地系,,印西地区,
122319,,,2064,高花南児童公園,,,T86子局,35.79084444,140.1423583,世界測地系,,印西地区,
122319,,,2065,小倉台公園,,,T86子局,35.806125,140.1128583,世界測地系,,印西地区,
122319,,,2066,内野北児童公園,,,T86子局,35.79675,140.1241,世界測地系,,印西地区,
122319,,,2067,多々羅田公園,,,T86子局,35.79670833,140.1267861,世界測地系,,印西地区,
122319,,,2068,内野南児童公園,,,T86子局,35.79456944,140.1254278,世界測地系,,印西地区,
122319,,,2069,内野２－６－１棟前,,,T86子局,35.794475,140.1238056,世界測地系,,印西地区,
122319,,,2070,内野２－６－１６棟前,,,T86子局,35.79285833,140.1243222,世界測地系,,印西地区,
122319,,,2071,原山小学校,,,T86子局,35.79910833,140.1293611,世界測地系,,印西地区,
122319,,,2072,高花第二団地集会所,,,T86子局,35.79479722,140.1406861,世界測地系,,印西地区,
122319,,,2073,西の原小学校,,,T86子局,35.801325,140.1531833,世界測地系,,印西地区,
122319,,,2074,原小学校,,,T86子局,35.798875,140.1629806,世界測地系,,印西地区,
122319,,,2075,西の原公園,,,T86子局,35.80176111,140.1579861,世界測地系,,印西地区,
122319,,,2076,浦部字大溝地先,,,T86子局,35.82456111,140.0970194,世界測地系,,印西地区,
122319,,,2077,鹿黒アラク山地先,,,T86子局,35.82052222,140.1368778,世界測地系,,印西地区,
122319,,,2078,草深字三夜脇地先,,,T86子局,35.80665278,140.1350639,世界測地系,,印西地区,
122319,,,2079,草深字南内川地先,,,T86子局,35.79346667,140.1435778,世界測地系,,印西地区,
122319,,,2080,草深字仲ノ側地先,,,T86子局,35.78826944,140.1527917,世界測地系,,印西地区,
122319,,,2081,松崎配水場,,,T86子局,35.78491389,140.1449417,世界測地系,,印西地区,
122319,,,2082,武西学園台２丁目地先,,,T86子局,35.7951,140.1108944,世界測地系,,印西地区,
122319,,,2083,だいもん下第３公園,,,T86子局,35.82140833,140.1849056,世界測地系,,印西地区,
122319,,,2084,牧の原給食センター,,,T86子局,35.808325,140.1544056,世界測地系,,印西地区,
122319,,,2085,草深字原地先,,,T86子局,35.79531111,140.1647333,世界測地系,,印西地区,
122319,,,2086,浦幡新田字木戸前地先,,,T86子局,35.81055278,140.101075,世界測地系,,印西地区,
122319,,,2087,小倉台西街区公園,,,T86子局,35.80509444,140.1100472,世界測地系,,印西地区,
122319,,,2088,戸神台西街区公園,,,T86子局,35.79583333,140.1163944,世界測地系,,印西地区,
122319,,,2089,すずかぜ公園,,,T86子局,35.80402222,140.1721611,世界測地系,,印西地区,
122319,,,2090,小林馬場（小林牧場北側）,,,T86子局,35.82963611,140.1779611,世界測地系,,印西地区,
122319,,,2091,泉公園,,,T86子局,35.80438333,140.1293694,世界測地系,,印西地区,
122319,,,2092,東の原公園,,,T86子局,35.79765833,140.17195,世界測地系,,印西地区,
122319,,,2093,牧の原南街区公園,,,T86子局,35.80846667,140.1643861,世界測地系,,印西地区,
122319,,,2094,牧の原西第２街区公園,,,T86子局,35.810225,140.1582528,世界測地系,,印西地区,
122319,,,2095,鹿黒南街区公園,,,T86子局,35.81656111,140.1362694,世界測地系,,印西地区,
122319,,,2201,印旛支所,,,T86子局,35.77939722,140.2045194,世界測地系,,印旛地区,
122319,,,2202,吉田入場,,,T86子局,35.76820833,140.1524472,世界測地系,,印旛地区,
122319,,,2203,吉田郷,,,T86子局,35.76478889,140.1550833,世界測地系,,印旛地区,
122319,,,2204,宗像中里,,,T86子局,35.76340278,140.1687889,世界測地系,,印旛地区,
122319,,,2205,岩戸伊付,,,T86子局,35.76319444,140.1719083,世界測地系,,印旛地区,
122319,,,2206,岩戸西方,,,T86子局,35.76626944,140.1681028,世界測地系,,印旛地区,
122319,,,2207,造谷,,,T86子局,35.78929444,140.1770194,世界測地系,,印旛地区,
122319,,,2208,大廻,,,T86子局,35.78038056,140.1825444,世界測地系,,印旛地区,
122319,,,2209,鎌苅,,,T86子局,35.77419167,140.1900639,世界測地系,,印旛地区,
122319,,,2210,師戸西台,,,T86子局,35.76045556,140.1838611,世界測地系,,印旛地区,
122319,,,2211,岩戸三軒屋,,,T86子局,35.75353889,140.1777083,世界測地系,,印旛地区,
122319,,,2212,松虫,,,T86子局,35.78944722,140.2146917,世界測地系,,印旛地区,
122319,,,2213,萩原和田谷,,,T86子局,35.79774722,140.2051111,世界測地系,,印旛地区,
122319,,,2214,萩原城の内,,,T86子局,35.79856111,140.2115222,世界測地系,,印旛地区,
122319,,,2215,萩原境田,,,T86子局,35.79716944,140.2208611,世界測地系,,印旛地区,
122319,,,2216,吉高船戸,,,T86子局,35.79296944,140.2287,世界測地系,,印旛地区,
122319,,,2217,吉高台,,,T86子局,35.78827222,140.2267722,世界測地系,,印旛地区,
122319,,,2218,吉高仲村（１）,,,T86子局,35.78874722,140.2329306,世界測地系,,印旛地区,
122319,,,2219,吉高仲村（２）,,,T86子局,35.78820556,140.2350806,世界測地系,,印旛地区,
122319,,,2220,吉高蕪和田,,,T86子局,35.78565,140.2386167,世界測地系,,印旛地区,
122319,,,2221,瀬戸雁又,,,T86子局,35.7791,140.2174139,世界測地系,,印旛地区,
122319,,,2222,瀬戸花台,,,T86子局,35.77221111,140.2177056,世界測地系,,印旛地区,
122319,,,2223,瀬戸新立（１）,,,T86子局,35.77585833,140.2205528,世界測地系,,印旛地区,
122319,,,2224,瀬戸新立（２）,,,T86子局,35.77697222,140.2271083,世界測地系,,印旛地区,
122319,,,2225,山田西,,,T86子局,35.77108333,140.2307389,世界測地系,,印旛地区,
122319,,,2226,山田仲井,,,T86子局,35.76775278,140.2335972,世界測地系,,印旛地区,
122319,,,2227,山田宮後,,,T86子局,35.77200556,140.2389917,世界測地系,,印旛地区,
122319,,,2228,山田木都内,,,T86子局,35.77535278,140.2392694,世界測地系,,印旛地区,
122319,,,2229,山田川端,,,T86子局,35.77665278,140.2473556,世界測地系,,印旛地区,
122319,,,2230,平賀北口,,,T86子局,35.76713333,140.2443,世界測地系,,印旛地区,
122319,,,2231,平賀宮前,,,T86子局,35.76332778,140.2456,世界測地系,,印旛地区,
122319,,,2232,平賀古井戸前,,,T86子局,35.76026389,140.2472833,世界測地系,,印旛地区,
122319,,,2233,平賀学園台（１）,,,T86子局,35.75354444,140.2650972,世界測地系,,印旛地区,
122319,,,2234,平賀学園台（２）,,,T86子局,35.74983056,140.2526944,世界測地系,,印旛地区,
122319,,,2235,山田岩井戸,,,T86子局,35.76248889,140.2268,世界測地系,,印旛地区,
122319,,,2236,瀬戸江川,,,T86子局,35.76680556,140.2204694,世界測地系,,印旛地区,
122319,,,2237,瀬戸大川岸,,,T86子局,35.76953056,140.2154722,世界測地系,,印旛地区,
122319,,,2238,瀬戸一本松,,,T86子局,35.77395278,140.2079028,世界測地系,,印旛地区,
122319,,,2239,鎌苅川岸,,,T86子局,35.76798333,140.1999278,世界測地系,,印旛地区,
122319,,,2240,師戸岡台,,,T86子局,35.75901667,140.1881111,世界測地系,,印旛地区,
122319,,,2241,岩戸川岸,,,T86子局,35.75376111,140.1672139,世界測地系,,印旛地区,
122319,,,2242,吉田馬場台,,,T86子局,35.76320278,140.1524444,世界測地系,,印旛地区,
122319,,,2243,岩戸市場,,,T86子局,35.77216944,140.1729833,世界測地系,,印旛地区,
122319,,,2244,岩戸古谷,,,T86子局,35.77801389,140.17415,世界測地系,,印旛地区,
122319,,,2245,萩原飛里橋,,,T86子局,35.80471667,140.2107,世界測地系,,印旛地区,
122319,,,2246,萩原株木,,,T86子局,35.800475,140.2161528,世界測地系,,印旛地区,
122319,,,2247,吉高仲村（３）,,,T86子局,35.79264167,140.2407056,世界測地系,,印旛地区,
122319,,,2248,山田鶴巻（１）,,,T86子局,35.78300278,140.2424083,世界測地系,,印旛地区,
122319,,,2249,山田鶴巻（２）,,,T86子局,35.77856389,140.2388306,世界測地系,,印旛地区,
122319,,,2250,平賀辺田,,,T86子局,35.75543889,140.2548694,世界測地系,,印旛地区,
122319,,,2251,平賀角崎東,,,T86子局,35.74674444,140.2601389,世界測地系,,印旛地区,
122319,,,2252,平賀角崎,,,T86子局,35.74632778,140.2509139,世界測地系,,印旛地区,
122319,,,2253,平賀古井戸後,,,T86子局,35.75421389,140.2451889,世界測地系,,印旛地区,
122319,,,2254,印旛中学校,,,T86子局,35.78505556,140.2039806,世界測地系,,印旛地区,
122319,,,2255,印旛学校給食センター,,,T86子局,35.78445833,140.2095139,世界測地系,,印旛地区,
122319,,,2256,いには野小学校,,,T86子局,35.7905,140.2070111,世界測地系,,印旛地区,
122319,,,2257,若萩（１）,,,T86子局,35.78764722,140.2082139,世界測地系,,印旛地区,
122319,,,2258,若萩（２）,,,T86子局,35.79000556,140.2034528,世界測地系,,印旛地区,
122319,,,2301,本埜支所,,,T86子局,35.81675,140.2013972,世界測地系,,本埜地区,
122319,,,2302,滝,,,T86子局,35.81768333,140.1798556,世界測地系,,本埜地区,
122319,,,2303,竜腹寺,,,T86子局,35.80559444,140.1888444,世界測地系,,本埜地区,
122319,,,2304,荒野,,,T86子局,35.79517778,140.1977472,世界測地系,,本埜地区,
122319,,,2305,角田,,,T86子局,35.78665,140.1922,世界測地系,,本埜地区,
122319,,,2306,辺田前,,,T86子局,35.80380278,140.2018611,世界測地系,,本埜地区,
122319,,,2307,第一小学校,,,T86子局,35.80709167,140.1955667,世界測地系,,本埜地区,
122319,,,2308,戸崎,,,T86子局,35.80868333,140.1983528,世界測地系,,本埜地区,
122319,,,2309,公民館,,,T86子局,35.81059444,140.2034861,世界測地系,,本埜地区,
