全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
122319,,千葉県印西市,アマリア歯科クリニック,アマリアシカクリニック,,歯科,,,千葉県印西市平賀学園台３－２－１,千葉県,印西市,,,,,,,,(0476)80-3320,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,いいづか歯科クリニック,イイヅカシカクリニック,,歯科,,,千葉県印西市草深２４１９－９,千葉県,印西市,,,,,,,,(0476)47-1179,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,いだいまえ歯科医院,イダイマエシカイイン,,歯科,,,千葉県印西市鎌苅２０９２－１,千葉県,印西市,,,,,,,,(0476)80-5585,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,岩戸歯科医院,イワドシカイイン,,歯科,,,千葉県印西市岩戸１６８０,千葉県,印西市,,,,,,,,(0476)99-1532,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,いんざい歯科医院,インザイシカイイン,,歯科,,,千葉県印西市木下１６３２,千葉県,印西市,,,,,,,,(0476)42-0648,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,印西歯科クリニック,インザイシカクリニック,,歯科,,,千葉県印西市中央北３－１－１(イオンモール　イオン棟3F）,千葉県,印西市,,,,,,,,(0476)48-1186,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,印西牧の原歯科,インザイマキノハラシカ,,歯科,,,千葉県印西市原１－１－７,千葉県,印西市,,,,,,,,(0476)36-8991,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,印旛日本医大前佐藤歯科,インバニホンイダイマエサトウシカ,,歯科,,,千葉県印西市若萩３－１９－１０,千葉県,印西市,,,,,,,,(0476)98-0403,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,うちだ歯科,ウチダシカ,,歯科,,,千葉県印西市大森２４５４－３,千葉県,印西市,,,,,,,,(0476)36-7887,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,大越歯科医院,,,歯科,,,千葉県印西市大森４４７０－１４,千葉県,印西市,,,,,,,,(0476)42-2097,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,大沢歯科医院,オオサワシカイイン,,歯科,,,千葉県印西市小林北５－１－２,千葉県,印西市,,,,,,,,(0476)97-6431,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,おがわ歯科,オガワシカ,,歯科,,,千葉県印西市草深２３３０－２,千葉県,印西市,,,,,,,,(0476)33-3190,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,ガーデンモール印西歯科,ガーデンモールインザイシカ,,歯科,,,千葉県印西市原１－２（ビッグホップ内）,千葉県,印西市,,,,,,,,(0476)48-2118,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,かめだ歯科医院,カメダシカイイン,,歯科,,,千葉県印西市草深１０８４－１,千葉県,印西市,,,,,,,,(0476)47-1441,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,川村歯科医院,カワムラシカイイン,,歯科,,,千葉県印西市小林浅間１－３－７,千葉県,印西市,,,,,,,,(0476)97-1001,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,きおろし歯科,キオロシシカイイン,,歯科,,,千葉県印西市木下６９８,千葉県,印西市,,,,,,,,(0476)42-7881,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,きかり歯科医院,キカリシカイイン,,歯科,,,千葉県印西市木刈４－３－３,千葉県,印西市,,,,,,,,(0476)46-3666,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,グリーン歯科,グリーンシカ,,歯科,,,千葉県印西市小倉６８３－４,千葉県,印西市,,,,,,,,(0476)42-0877,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,クローバー歯科,クローバーシカ,,歯科,,,千葉県印西市小倉台４－１１,千葉県,印西市,,,,,,,,(0476)47-1313,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,ココロデンタルクリニック,ココロデンタルクリニック,,歯科,,,千葉県印西市武西学園台１－３－６５,千葉県,印西市,,,,,,,,(0476)46-7711,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,コスモス三国歯科,コスモスサンゴクシカ,,歯科,,,千葉県印西市大森２５５２－９,千葉県,印西市,,,,,,,,(0476)42-0008,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,杉田歯科医院,スギタシカイイン,,歯科,,,千葉県印西市小林北２－２－１,千葉県,印西市,,,,,,,,(0476)97-2220,,,,,,,,,,,,,,,,,,,,,,
122319,,千葉県印西市,鈴木歯科クリニック,スズキシカクリニック,,歯科,,,千葉県印西市西の原２－２－１,千葉県,印西市,,,,,,,,(0476)33-6990,,,,,,,,,,,,,,,,,,,,,,
