施設名,設置場所,所在地,電話番号,緯度,経度
印西市役所,1階　ロビー,印西市大森2364-2,0476-42-5111,35.832349,140.145817
印旛支所（ふれあいセンターいんば）,1階　正面玄関,印西市美瀬1-25,0476-98-1111,35.779387,140.204606
印旛支所（ふれあいセンターいんば）,2階　健康づくりセンター前,印西市美瀬1-25,0476-80-3900,35.779387,140.204606
本埜支所,1階　ロビー自動ドア脇,印西市笠神2587,0476-97-1111,35.816732,140.201524
中央保健センター,1階　玄関ロビー棚,印西市大森2356-3,0476-42-5595,35.832447,140.144328
本埜保健センター,1階　受付脇,印西市笠神2587,0476-97-1111,35.798042,140.138841
そうふけふれあいの里,2階　運動教室スタッフルーム前,印西市草深924,0476-47-4700,35.795776,140.151042
総合福祉センター,1階　ロビー,印西市竹袋614-9,0476-42-0144,35.832859,140.150507
ふれあい文化館,1階　受付カウンター脇,印西市原3-4,0476-45-3800,35.799681,140.165233
保健福祉センター,1階　受付カウンター脇,印西市高花2-1-5,0476-47-2111,35.832859,140.150507
牧の原出張所,受付カウンター脇,印西市原1-2,0476-47-1111,35.803471,140.165002
平賀出張所,受付カウンター脇,印西市平賀928,0476-80-3811,35.757403,140.244933
中央公民館,1階　ロビー事務室前,印西市大森3934-1,0476-42-2911,35.841431,140.14663
中央駅前地域交流館（1号館）,1階　事務室脇,印西市中央南1-2,0476-46-5111,35.8003,140.119142
中央駅前地域交流館（2号館）,1階　中央駅前出張所自動ドア脇,印西市中央南1-4-1,0476-46-5111,35.799795,140.119445
牧の原地域交流センター,1階　ロビー自動ドア脇,印西市牧の原3-1-2,0476-37-5595,35.812277,140.160079
小林コミュニティプラザ,1階　公民館受付脇,印西市小林北5-1-6,0476-97-0003,35.83194,140.19767
印旛公民館,1階　事務室内,印西市瀬戸1518,0476-98-0427,35.780376,140.223053
本埜公民館,1階　ロビー,印西市中根1375,0476-97-2011,35.810149,140.199623
本埜ファミリア館,1階　ロビー,印西市滝野3-4,0476-80-8181,35.806654,140.177643
文化ホール,1階　ロビー,印西市大森2535,0476-42-8811,35.833347,140.145986
