種類,施設名,所在地,電話番号,緯度,経度
広域避難場所,千葉県立北総花の丘公園,印西市原山1-12-1,0476-47-4030,35.800055,140.123511
広域避難場所,東京電機大学千葉ニュータウンキャンパス,印西市武西学園台2-1200,0476-46-4111,35.793765,140.109442
広域避難場所,松山下公園,印西市浦部275,0476-42-8417,35.825826,140.111792
指定避難所,木下小学校,印西市木下1502,0476-42-2607,35.839008,140.15443
指定避難所,小林小学校,印西市小林2448-2,0476-42-4311,35.831026,140.18754
指定避難所,大森小学校,印西市大森3350,0476-42-2089,35.836525,140.14087
指定避難所,船穂小学校,印西市船尾1292,0476-46-0023,35.783391,140.129051
指定避難所,（旧）永治小学校,印西市浦部557,0476-42-2347,35.824081,140.107935
指定避難所,木刈小学校,印西市木刈2-6,0476-46-1755,35.810162,140.107066
指定避難所,内野小学校,印西市内野1-1,0476-46-1781,35.797402,140.125281
指定避難所,原山小学校,印西市原山3-4,0476-46-1701,35.799266,140.13026
指定避難所,小林北小学校,印西市小林北5-1-5,0476-97-1100,35.832097,140.199022
指定避難所,小倉台小学校,印西市小倉台2-3,0476-46-5711,35.804269,140.110045
指定避難所,高花小学校,印西市高花2-4,0476-46-6211,35.797177,140.138453
指定避難所,西の原小学校,印西市西の原2-7,0476-45-0150,35.800311,140.153282
指定避難所,原小学校,印西市原3-5,0476-45-8611,35.799518,140.16374
指定避難所,印西中学校,印西市大森2244,0476-42-3151,35.828282,140.148324
指定避難所,船穂中学校,印西市高花1-3,0476-46-0021,35.794956,140.132516
指定避難所,木刈中学校,印西市木刈2-1,0476-46-1751,35.807072,140.109968
指定避難所,小林中学校,印西市小林大門下1-4-1,0476-97-3100,35.823229,140.186539
指定避難所,原山中学校,印西市原山1-2,0476-46-6911,35.799296,140.126585
指定避難所,西の原中学校,印西市西の原1-3,0476-45-0160,35.803203,140.156367
指定避難所,そうふけふれあいの里,印西市草深924,0476-47-4700,35.795776,140.151042
指定避難所,平岡自然公園,印西市平岡1554,0476-42-1008,35.829119,140.174804
指定避難所,六合小学校,印西市瀬戸1580,0476-98-0006,35.777671,140.227734
指定避難所,（旧）宗像小学校,印西市岩戸1680,0476-99-0007,35.762932,140.168263
指定避難所,平賀小学校,印西市平賀1161-2,0476-98-1151,35.754849,140.246815
指定避難所,いには野小学校,印西市若萩3-9,0476-98-2080,35.789731,140.208274
指定避難所,印旛中学校,印西市舞姫2-1-1,0476-98-0711,35.784709,140.20471
指定避難所,本埜小学校,印西市中根1281-2,0476-97-0035,35.80637,140.194941
指定避難所,（旧）本埜第二小学校,印西市笠神1745,0476-97-0036,35.82714,140.214965
指定避難所,滝野小学校,印西市滝野5-1,0476-97-1977,35.808444,140.175862
指定避難所,本埜中学校,印西市笠神250,0476-97-0009,35.81646,140.199015
指定避難所,滝野中学校,印西市滝野5-2,0476-97-1988,35.808142,140.175092
指定避難所,牧の原小学校,印西市牧の原3-1-1,0476-29-5560,35.811459,140.160613
特別避難所,総合福祉センター,印西市竹袋614-9,0476-42-0144,35.832859,140.150507
特別避難所,中央公民館,印西市大森3934-1,0476-42-2911,35.841431,140.14663
特別避難所,中央駅前地域交流館,印西市中央南1-2,0476-46-5111,35.8003,140.119142
特別避難所,小林公民館,印西市小林北5-1-6,0476-97-0003,35.83194,140.19767
特別避難所,そうふけ公民館,印西市原3-4,0476-45-3800,35.799681,140.165233
特別避難所,中央駅北コミュニティセンター(フレンドリープラザ),印西市木刈4-3-1,0476-46-8611,35.809018,140.104955
特別避難所,中央駅南コミュニティセンター（サザンプラザ）,印西市原山3-3,0476-45-0611,35.79879,140.129427
特別避難所,永治コミュニティセンター,印西市浦部411-3,0476-42-1101,35.825243,140.109113
特別避難所,船穂コミュニティセンター,印西市船尾786-1,0476-48-5311,35.78158,140.129417
特別避難所,ふれあいセンターいんば,印西市美瀬1-25,0476-80-3900,35.779387,140.204606
特別避難所,本埜公民館,印西市中根1375,0476-97-2011,35.810149,140.199623
特別避難所,宮内青年館,印西市浦部1430-3,電話なし,35.822878,140.102883
特別避難所,和泉会館,印西市和泉885-1,電話なし,35.821405,140.123492
特別避難所,松崎中央会館,印西市松崎396,電話なし,35.778552,140.138367
特別避難所,大森ふれあい会館,印西市大森2646-8,電話なし,35.83422,140.141925
特別避難所,平賀地区構造改善センター,印西市平賀928,電話なし,35.757593,140.244851
