"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字以下","建物名等","高度の種別","高度の値","設置位置","電話番号","内線番号","連絡先メールアドレス","連絡先FORMURL","連絡先備考その他SNSなど","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応設備の有無","URL","画像1","画像1_ライセンス","画像2","画像2_ライセンス","外部利用不可","備考","経度","緯度","分類"
"122319","","千葉県印西市","印西市役所","インザイシヤクショ","","","","千葉県印西市大森2364-2","千葉県","印西市","大森2364-2","","","","1階 正面玄関ロビー","0476-42-5111","","","","","2701327","","","月火水木金土※","8:30","17:15","土曜日は第2・4のみ。年末年始、祝日は利用不可。","有","","","","","","","","140.145764000003","35.8323762399014","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","印旛支所","インバシショ","","","","千葉県印西市美瀬1-25","千葉県","印西市","美瀬1-25","","","","１階　正面玄関","0476-98-1111","","","","","2701607","","","月火水木金土","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.204726700083","35.7792087698806","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","本埜支所","モトノシショ","","","","千葉県印西市笠神2587","千葉県","印西市","笠神2587","","","","受付前","0476-99-0002","","","","","2701616","","","月火水木金","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.201533299979","35.8166181699735","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","平賀出張所","ヒラカシュッチョウジョ","","","","千葉県印西市平賀928","千葉県","印西市","平賀928","","","","ロビー内　自動ドア脇","0476-80-3811","","","","","2701605","","","月火水木金","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.244952999977","35.7574171698745","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","牧の原出張所","マキノハラシュッチョウジョ","","","","千葉県印西市原1-2","千葉県","印西市","原1-2","","","","1階　ロビー自動ドア脇","0476-97-1111","","","","","2702322","","","月火水木金","8:30","17:15","年末年始、祝日は利用不可。","有","","","","","","","","140.16585070004","35.8032133298756","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","総合福祉センター","ソウゴウフクシセンター","","","","千葉県印西市竹袋614-9","千葉県","印西市","竹袋614-9","","","","1階 玄関ロビー","0476-42-0144","","","","","2701325","","","全日","9:00","17:00","年末年始、祝日は利用不可。","有","","","","","","","","140.150656499993","35.8328382298061","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","そうふけふれあいの里　※備考有","ソウフケフレアイノサト","","","","千葉県印西市草深924","千葉県","印西市","草深924","","","","1階　受付事務室内","0476-47-4700","","","","","2701337","","","月火水木金土","9:00","18:30","年末年始、祝日は利用不可。","有","","","","","","","令和7年3月31日まで大規模改修のため休館。","140.151166299987","35.7957963798842","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","牧の原地域交流センター","マキノハラチイキコウリュウセンター","","","","千葉県印西市牧の原3-1-2","千葉県","印西市","牧の原3-1-2","","","","ロビー内　自動ドア付近","0476-37-5995","","","","","2701331","","","火水木金土日","9:00","17:00※","※水・土のみ夜間開館がある場合は最大20時まで。月祝の場合は月曜開館、火曜閉館。年末年始は利用不可。","有","","","","","","","","140.160110900075","35.8123179499364","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","永治プラザ","エイジプラザ","","","","千葉県印西市浦部411-3","千葉県","印西市","浦部411-3","","","","正面玄関","0476-42-1101","","","","","2701367","","","全日※","9:00","17:00","※第2・4木曜は休館。利用者がいる場合は最大21:00まで。年末年始は利用不可。","有","","","","","","","","140.10914030009","35.825234079876","オープンデータ_AED設置個所一覧"
"122319","","千葉県印西市","船穂コミュニティセンター","フナホコミュニティセンター","","","","千葉県印西市船尾786-1","千葉県","印西市","船尾786-1","","","","1階　ロビー","0476-48-5311","","","","","2701345","","","全日※","9:00","17:00","※第2・4木曜は休館。利用者がいる場合は最大21:00まで。年末年始は利用不可。","有","","","","","","","","140.129466099962","35.7815865699376","オープンデータ_AED設置個所一覧"
