"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高28","Ⅲ-1092","140.224863713372","35.7868092195448","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸27","Ⅱ-060067","140.21572264355","35.7774276345456","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸28","Ⅱ-060068","140.221624182601","35.7677113580727","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","花台","Ⅰ-0308","140.216903834442","35.7691843255458","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","花台","Ⅰ-0308","140.217712153344","35.7675368998713","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高27","Ⅱ-1274","140.221138675353","35.7887420338507","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高2","Ⅱ-1275","140.22724102866","35.7888849560782","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高4","Ⅱ-1276","140.228849557125","35.7901190673895","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高4","Ⅱ-1276","140.229210275863","35.7904619392762","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高5","Ⅱ-1277","140.230973290148","35.793671870425","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","吉高5","Ⅱ-1277","140.23079618491","35.7929043439196","土砂災害特別警戒区域"
