"OBJHTMID","地区NO","カルテ地区","番号","名称","所在地","電話番号","震災","風水害","土砂","種別","経度","緯度","分類"
"1","1","木下地区","1","木下小学校","印西市木下1502","42-2607","○","○","","指定避難場所・避難所","140.15450549759","35.8394159833445","指定避難所"
"2","1","木下地区","21","平岡自然公園","印西市平岡1554","42-1008","○","○","","指定避難場所・避難所","140.170755530498","35.8269570314788","指定避難所"
"3","2","大森地区","3","大森小学校","印西市大森3350","42-2089","○","","","指定避難場所・避難所","140.140874458939","35.8365250081175","指定避難所"
"4","2","大森地区","14","印西中学校","印西市大森2244","42-3151","○","○","","指定避難場所・避難所","140.147418442254","35.8281340343697","指定避難所"
"5","3","小林地区","2","小林小学校","印西市小林2554","42-4311","○","○","","指定避難場所・避難所","140.187006652455","35.8310150220869","指定避難所"
"6","3","小林地区","9","小林北小学校","印西市小林北5-1-5","97-1100","○","","","指定避難場所・避難所","140.198630746857","35.8316400268953","指定避難所"
"7","3","小林地区","17","小林中学校","印西市小林大門下1-4-1","97-3100","○","○","","指定避難場所・避難所","140.186542612024","35.8232300504443","指定避難所"
"8","4","永治地区","5","旧永治小学校","印西市浦部557","42-5111","○","○","","指定避難場所・避難所","140.107937434758","35.8240811126666","指定避難所"
"9","5","千葉ニュータウン地区","6","木刈小学校","印西市木刈2-6","46-1755","○","○","","指定避難場所・避難所","140.106727360715","35.8103421555946","指定避難所"
"10","5","千葉ニュータウン地区","7","内野小学校","印西市内野1-1","46-1781","○","○","","指定避難場所・避難所","140.124954276141","35.7979811712098","指定避難所"
"11","5","千葉ニュータウン地区","8","原山小学校","印西市原山3-4","46-1701","○","○","","指定避難場所・避難所","140.130649292778","35.7998021594822","指定避難所"
"12","5","千葉ニュータウン地区","10","小倉台小学校","印西市小倉台2-3","46-5711","○","○","","指定避難場所・避難所","140.109377320374","35.8043381691382","指定避難所"
"13","5","千葉ニュータウン地区","11","高花小学校","印西市高花2-4","46-6211","○","○","","指定避難場所・避難所","140.13868228463","35.7970181640452","指定避難所"
"14","5","千葉ニュータウン地区","15","船穂中学校","印西市高花1-3","46-0021","○","○","","指定避難場所・避難所","140.132422267023","35.795342175156","指定避難所"
"15","5","千葉ニュータウン地区","16","木刈中学校","印西市木刈2-1","46-1751","○","○","","指定避難場所・避難所","140.109857339098","35.8073641596077","指定避難所"
"16","5","千葉ニュータウン地区","18","原山中学校","印西市原山1-2","46-6911","○","○","","指定避難場所・避難所","140.12762728342","35.7987431661157","指定避難所"
"17","6","牧の原・草深地区","12","西の原小学校","印西市西の原2-7","45-0150","○","○","","指定避難場所・避難所","140.152196333978","35.8003411446365","指定避難所"
"18","6","牧の原・草深地区","13","原小学校","印西市原3-5","45-8611","○","○","","指定避難場所・避難所","140.163676369026","35.7994651434377","指定避難所"
"19","6","牧の原・草深地区","19","西の原中学校","印西市西の原1-3","45-0160","○","○","","指定避難場所・避難所","140.156670364244","35.803401129385","指定避難所"
"20","6","牧の原・草深地区","20","そうふけふれあいの里","印西市草深924","47-4700","○","○","","指定避難場所・避難所","140.150820303138","35.7956471641524","指定避難所"
"21","6","牧の原・草深地区","34","滝野小学校","印西市滝野5-1","97-1977","○","○","","指定避難場所・避難所","140.175806475077","35.8090701025011","指定避難所"
"22","6","牧の原・草深地区","35","滝野中学校","印西市滝野5-2","97-1988","○","○","","指定避難場所・避難所","140.1749004671","35.8085001047664","指定避難所"
"23","7","宗像地区","27","旧宗像小学校","印西市岩戸１６８０","42-5111","○","○","","指定避難場所・避難所","140.168463163493","35.7634932888154","指定避難所"
"24","8","船穂地区","4","船穂小学校","印西市船尾1292","46-0023","○","○","","指定避難場所・避難所","140.128818188237","35.7837312217364","指定避難所"
"25","12","本埜第一地区","31","本埜小学校","印西市中根1281-2","97-0035","○","○","","指定避難場所・避難所","140.194745578811","35.8066471129014","指定避難所"
"26","12","本埜第一地区","33","本埜中学校","印西市笠神250","97-0009","○","○","","指定避難場所・避難所","140.199017664031","35.8164620782885","指定避難所"
"27","13","本埜第二地区","32","旧本埜第二小学校","印西市笠神1745","42-5111","○","","","指定避難場所・避難所","140.214723856972","35.8274200520252","指定避難所"
"28","11","いには野地区","26","印旛中学校","印西市舞姫2-1-1","98-0711","○","○","","指定避難場所・避難所","140.204833506941","35.7850891864004","指定避難所"
"29","11","いには野地区","29","いには野小学校","印西市若萩3-9-1","98-2080","○","○","","指定避難場所・避難所","140.207508556297","35.7897551695623","指定避難所"
"30","9","六合地区","22","六合小学校","印西市瀬戸1580","98-0006","○","○","","指定避難場所・避難所","140.227737605187","35.7776711948231","指定避難所"
"31","10","平賀地区","28","平賀小学校","印西市平賀1161-2","98-1151","○","○","","指定避難場所・避難所","140.246967539672","35.7550522204503","指定避難所"
"33","6","草深・牧の原・滝野地区","36","牧の原小学校","牧の原3-1-1","29-5560","○","○","","指定避難場所・避難所","140.160868341106","35.8121321969293","指定避難所"
