"OBJDBEID","地区NO","カルテ地区","番号","名称","所在地","電話番号","震災","風水害","土砂","種別","経度","緯度","分類"
"1","1","木下地区","1","総合福祉センター","印西市竹袋614-9","42-0144","○","","","特別避難施設","140.150473463688","35.8327750129433","特別避難所"
"2","2","大森地区","2","中央公民館","印西市大森3934-1","42-2911","○","","","特別避難施設","140.14662048094","35.8414159804597","特別避難所"
"4","3","小林地区","4","小林公民館","印西市小林北5-1-6","97-0003","○","","","特別避難施設","140.197677740888","35.8319400252968","特別避難所"
"5","4","永治地区","8","永治コミュニティセンター","印西市浦部411-3","42-1101","○","○","","特別避難施設","140.109118438597","35.8252421066958","特別避難所"
"6","4","永治地区","12","宮内青年館","印西市浦部1430-3","","","","○","特別避難施設","140.102866438014","35.8228821271154","特別避難所"
"7","4","永治地区","14","和泉会館","印西市和泉885-1","","","","○","特別避難施設","140.123497399969","35.8214070908409","特別避難所"
"8","5","千葉ニュータウン地区","3","中央駅前地域交流館","印西市中央南1-2","46-5111","○","○","","特別避難施設","140.119383291566","35.8004461685059","特別避難所"
"9","5","千葉ニュータウン地区","6","中央駅北コミュニティセンター(フレンドリープラザ)","印西市木刈4-3-1","46-8611","○","○","","特別避難施設","140.104960355678","35.809017162415","特別避難所"
"10","5","千葉ニュータウン地区","7","中央駅南コミュニティセンター（サザンプラザ）","印西市原山3-3","45-0611","○","○","","特別避難施設","140.129433284359","35.7986241650185","特別避難所"
"11","6","牧の原・草深地区","5","そうふけ公民館","印西市原3-4","45-3800","○","○","","特別避難施設","140.165364378435","35.799821141643","特別避難所"
"12","7","船穂地区","9","船穂コミュニティセンター","印西市船尾786-1","48-5311","○","○","","特別避難施設","140.12941717409","35.781598229336","特別避難所"
"13","7","船穂地区","15","武西集会所","印西市武西908","","","","○","特別避難施設","140.106788174912","35.7833682381984","特別避難所"
"15","9","六合地区","10","ふれあいセンターいんば","印西市美瀬1-25","80-3900","","","","特別避難施設","140.204248460027","35.7787932085592","特別避難所"
"16","12","本埜第一地区","11","本埜公民館","印西市中根1375","97-2011","○","○","○","特別避難施設","140.199521472277","35.8102735420224","特別避難所"
"17","0","","0","旧宗像小学校","印西市岩戸１６８０番地","42-5111","","","〇","特別避難所","140.168844194759","35.7634272408722","特別避難所"
"18","0","","0","松崎中央会館","印西市松崎３９６","","","","〇","特別避難所","140.138375859061","35.7785600840917","特別避難所"
"19","0","","0","船穂小学校","印西市船尾１２９２番地","46-0023","","","〇","特別避難所","140.128856018432","35.7840687756049","特別避難所"
"20","0","","0","大森ふれあい会館","印西市大森2646番地８","","","","〇","特別避難所","140.141923995811","35.8342090680832","特別避難所"
"21","0","","0","小林小学校","印西市小林2448番地２","42-4311","","","〇","特別避難所","140.187034617777","35.8308351882585","特別避難所"
"22","0","平賀地区","0","平賀地区構造改善センター","平賀928","","","","○","特別避難所","140.244874075262","35.757420215719","特別避難所"
